,transactionType,datetime_transaction,transactionType,transactionAmount,merchantName,isFraud,accountNumber
86669,PURCHASE,2016-01-01 00:15:48,PURCHASE,6.73,Hilton Hotels,False,882815134
86670,PURCHASE,2016-01-01 01:54:39,PURCHASE,143.96,Blue Mountain eCards,False,882815134
86671,PURCHASE,2016-01-01 03:04:30,PURCHASE,29.58,Rodeway Inn,False,882815134
86672,PURCHASE,2016-01-01 03:24:30,PURCHASE,14.54,Hyatt House,False,882815134
86673,PURCHASE,2016-01-01 03:31:55,PURCHASE,49.03,Renaissance Hotel,False,882815134
86674,PURCHASE,2016-01-01 04:39:36,PURCHASE,41.36,walmart.com,True,882815134
86675,PURCHASE,2016-01-01 06:29:38,PURCHASE,240.16,Hilton Hotels,False,882815134
86676,PURCHASE,2016-01-01 07:07:42,PURCHASE,106.11,Hilton Hotels,False,882815134
86677,PURCHASE,2016-01-01 08:58:36,PURCHASE,37.18,Renaissance Hotel,False,882815134
86678,PURCHASE,2016-01-01 09:33:54,PURCHASE,80.61,Rodeway Inn,False,882815134
86679,PURCHASE,2016-01-01 09:45:43,PURCHASE,92.47,Rodeway Inn,False,882815134
86680,ADDRESS_VERIFICATION,2016-01-01 12:26:42,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
86681,PURCHASE,2016-01-01 14:34:32,PURCHASE,194.08,Next Day Online Services,False,882815134
86682,PURCHASE,2016-01-01 14:54:43,PURCHASE,328.67,Hilton Hotels,False,882815134
86683,PURCHASE,2016-01-01 17:42:28,PURCHASE,58.68,Aloft,False,882815134
86684,PURCHASE,2016-01-01 19:29:56,PURCHASE,321.24,Blue Mountain eCards,False,882815134
86685,PURCHASE,2016-01-01 19:41:40,PURCHASE,120.16,Renaissance Hotel,False,882815134
86686,PURCHASE,2016-01-01 20:13:16,PURCHASE,35.73,Hilton Hotels,False,882815134
86687,PURCHASE,2016-01-01 20:31:45,PURCHASE,12.56,Renaissance Hotel,False,882815134
86688,PURCHASE,2016-01-01 21:44:28,PURCHASE,183.06,Hyatt House,False,882815134
86689,PURCHASE,2016-01-01 22:59:42,PURCHASE,193.79,Renaissance Hotel,False,882815134
86690,PURCHASE,2016-01-01 23:38:41,PURCHASE,73.37,Hyatt House,False,882815134
86691,PURCHASE,2016-01-02 02:13:47,PURCHASE,216.57,Hyatt House,False,882815134
86692,PURCHASE,2016-01-02 02:23:12,PURCHASE,623.05,Hyatt House,False,882815134
86693,PURCHASE,2016-01-02 03:19:28,PURCHASE,43.75,Fresh Flowers,False,882815134
86694,PURCHASE,2016-01-02 03:38:17,PURCHASE,331.43,Hilton Hotels,False,882815134
86695,PURCHASE,2016-01-02 03:57:45,PURCHASE,353.8,Fresh eCards,False,882815134
86696,PURCHASE,2016-01-02 05:53:18,PURCHASE,512.83,Renaissance Hotel,False,882815134
86697,PURCHASE,2016-01-02 06:12:05,PURCHASE,201.61,Hilton Hotels,False,882815134
86698,PURCHASE,2016-01-02 06:35:13,PURCHASE,139.38,Rodeway Inn,False,882815134
86699,ADDRESS_VERIFICATION,2016-01-02 06:56:46,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
86700,PURCHASE,2016-01-02 07:39:43,PURCHASE,135.93,Renaissance Hotel,False,882815134
86701,PURCHASE,2016-01-02 08:31:50,PURCHASE,229.96,Rodeway Inn,False,882815134
86702,PURCHASE,2016-01-02 08:57:55,PURCHASE,13.92,Hilton Hotels,False,882815134
86703,PURCHASE,2016-01-02 10:23:18,PURCHASE,377.15,Hilton Hotels,False,882815134
86704,PURCHASE,2016-01-02 11:46:43,PURCHASE,52.81,Renaissance Hotel,False,882815134
86705,PURCHASE,2016-01-02 11:57:10,PURCHASE,117.42,Hilton Hotels,False,882815134
86706,PURCHASE,2016-01-02 12:14:34,PURCHASE,93.3,Rodeway Inn,False,882815134
86707,PURCHASE,2016-01-02 13:32:17,PURCHASE,481.63,Renaissance Hotel,False,882815134
86708,PURCHASE,2016-01-02 13:51:30,PURCHASE,184.76,Rodeway Inn,False,882815134
86709,PURCHASE,2016-01-02 15:41:16,PURCHASE,0.01,Rodeway Inn,False,882815134
86710,PURCHASE,2016-01-02 17:33:42,PURCHASE,71.77,Rodeway Inn,False,882815134
86711,PURCHASE,2016-01-02 17:52:42,PURCHASE,69.52,Hyatt House,False,882815134
86712,PURCHASE,2016-01-02 20:13:43,PURCHASE,414.42,Next Day eCards,False,882815134
86713,PURCHASE,2016-01-02 20:32:58,PURCHASE,17.65,Hilton Hotels,False,882815134
86714,PURCHASE,2016-01-02 20:40:40,PURCHASE,95.53,Rodeway Inn,False,882815134
86715,PURCHASE,2016-01-02 22:18:19,PURCHASE,754.36,Rodeway Inn,False,882815134
86716,PURCHASE,2016-01-02 23:27:12,PURCHASE,81.09,Hilton Hotels,False,882815134
86717,PURCHASE,2016-01-03 00:17:10,PURCHASE,115.01,Renaissance Hotel,False,882815134
86718,PURCHASE,2016-01-03 02:07:40,PURCHASE,32.26,Hyatt House,False,882815134
86719,PURCHASE,2016-01-03 02:33:50,PURCHASE,27.6,Renaissance Hotel,False,882815134
86720,PURCHASE,2016-01-03 02:41:36,PURCHASE,18.81,Hilton Hotels,False,882815134
86721,PURCHASE,2016-01-03 03:07:40,PURCHASE,23.11,Rodeway Inn,False,882815134
86722,PURCHASE,2016-01-03 03:07:56,PURCHASE,23.75,Renaissance Hotel,False,882815134
86723,PURCHASE,2016-01-03 03:31:51,PURCHASE,80.73,Renaissance Hotel,False,882815134
86724,PURCHASE,2016-01-03 05:13:43,PURCHASE,262.73,Rodeway Inn,False,882815134
86725,PURCHASE,2016-01-03 05:19:14,PURCHASE,50.48,Rodeway Inn,False,882815134
86726,PURCHASE,2016-01-03 05:57:37,PURCHASE,44.03,Blue Mountain Online Services,False,882815134
86727,PURCHASE,2016-01-03 06:09:54,PURCHASE,116.58,Rodeway Inn,False,882815134
86728,PURCHASE,2016-01-03 06:26:54,PURCHASE,28.73,Hyatt House,False,882815134
86729,PURCHASE,2016-01-03 07:05:49,PURCHASE,611.57,Hilton Hotels,False,882815134
86730,PURCHASE,2016-01-03 07:31:40,PURCHASE,8.46,Hyatt House,False,882815134
86731,PURCHASE,2016-01-03 08:38:18,PURCHASE,177.27,Rodeway Inn,False,882815134
86732,PURCHASE,2016-01-03 09:44:40,PURCHASE,439.48,Rodeway Inn,False,882815134
86733,PURCHASE,2016-01-03 11:28:06,PURCHASE,160.18,Aloft,False,882815134
86734,PURCHASE,2016-01-03 12:45:08,PURCHASE,280.65,Fresh Online Services,False,882815134
86735,PURCHASE,2016-01-03 12:46:10,PURCHASE,9.54,Fresh Flowers,False,882815134
86736,PURCHASE,2016-01-03 13:24:22,PURCHASE,115.65,Hilton Hotels,False,882815134
86737,PURCHASE,2016-01-03 13:36:29,PURCHASE,595.42,Hyatt House,False,882815134
86738,PURCHASE,2016-01-03 14:50:49,PURCHASE,286.58,Hyatt House,False,882815134
86739,PURCHASE,2016-01-03 15:04:00,PURCHASE,33.75,Renaissance Hotel,False,882815134
86740,PURCHASE,2016-01-03 16:08:13,PURCHASE,81.87,Rodeway Inn,False,882815134
86741,ADDRESS_VERIFICATION,2016-01-03 17:11:30,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
86742,PURCHASE,2016-01-03 18:51:55,PURCHASE,227.22,Hilton Hotels,False,882815134
86743,PURCHASE,2016-01-03 19:12:26,PURCHASE,170.35,Fresh eCards,False,882815134
86744,PURCHASE,2016-01-03 19:40:16,PURCHASE,0.08,Hilton Hotels,False,882815134
86745,PURCHASE,2016-01-03 20:03:38,PURCHASE,199.38,Renaissance Hotel,False,882815134
86746,PURCHASE,2016-01-03 20:57:07,PURCHASE,33.94,Rodeway Inn,False,882815134
86747,ADDRESS_VERIFICATION,2016-01-03 21:29:07,ADDRESS_VERIFICATION,0.0,Renaissance Hotel,False,882815134
86748,PURCHASE,2016-01-03 22:00:51,PURCHASE,50.81,Rodeway Inn,False,882815134
86749,PURCHASE,2016-01-03 22:07:51,PURCHASE,51.8,Hilton Hotels,False,882815134
86750,PURCHASE,2016-01-03 22:41:10,PURCHASE,269.97,Hyatt House,False,882815134
86751,PURCHASE,2016-01-03 22:49:43,PURCHASE,121.78,Renaissance Hotel,False,882815134
86752,PURCHASE,2016-01-03 23:04:03,PURCHASE,49.67,Renaissance Hotel,False,882815134
86753,PURCHASE,2016-01-03 23:17:13,PURCHASE,274.07,Hyatt House,False,882815134
