,transactionType,datetime_transaction,transactionType,transactionAmount,merchantName,isFraud,accountNumber
579372,PURCHASE,2016-01-01 00:15:48,PURCHASE,6.73,Hilton Hotels,False,882815134
579373,PURCHASE,2016-01-01 01:54:39,PURCHASE,143.96,Blue Mountain eCards,False,882815134
579374,PURCHASE,2016-01-01 03:04:30,PURCHASE,29.58,Rodeway Inn,False,882815134
579375,PURCHASE,2016-01-01 03:24:30,PURCHASE,14.54,Hyatt House,False,882815134
579376,PURCHASE,2016-01-01 03:31:55,PURCHASE,49.03,Renaissance Hotel,False,882815134
579377,PURCHASE,2016-01-01 04:39:36,PURCHASE,41.36,walmart.com,True,882815134
579378,PURCHASE,2016-01-01 06:29:38,PURCHASE,240.16,Hilton Hotels,False,882815134
579379,PURCHASE,2016-01-01 07:07:42,PURCHASE,106.11,Hilton Hotels,False,882815134
579380,PURCHASE,2016-01-01 08:58:36,PURCHASE,37.18,Renaissance Hotel,False,882815134
579381,PURCHASE,2016-01-01 09:33:54,PURCHASE,80.61,Rodeway Inn,False,882815134
579382,PURCHASE,2016-01-01 09:45:43,PURCHASE,92.47,Rodeway Inn,False,882815134
579383,ADDRESS_VERIFICATION,2016-01-01 12:26:42,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
579384,PURCHASE,2016-01-01 14:34:32,PURCHASE,194.08,Next Day Online Services,False,882815134
579385,PURCHASE,2016-01-01 14:54:43,PURCHASE,328.67,Hilton Hotels,False,882815134
579386,PURCHASE,2016-01-01 17:42:28,PURCHASE,58.68,Aloft,False,882815134
579387,PURCHASE,2016-01-01 19:29:56,PURCHASE,321.24,Blue Mountain eCards,False,882815134
579388,PURCHASE,2016-01-01 19:41:40,PURCHASE,120.16,Renaissance Hotel,False,882815134
579389,PURCHASE,2016-01-01 20:13:16,PURCHASE,35.73,Hilton Hotels,False,882815134
579390,PURCHASE,2016-01-01 20:31:45,PURCHASE,12.56,Renaissance Hotel,False,882815134
579391,PURCHASE,2016-01-01 21:44:28,PURCHASE,183.06,Hyatt House,False,882815134
579392,PURCHASE,2016-01-01 22:59:42,PURCHASE,193.79,Renaissance Hotel,False,882815134
579393,PURCHASE,2016-01-01 23:38:41,PURCHASE,73.37,Hyatt House,False,882815134
579394,PURCHASE,2016-01-02 02:13:47,PURCHASE,216.57,Hyatt House,False,882815134
579395,PURCHASE,2016-01-02 02:23:12,PURCHASE,623.05,Hyatt House,False,882815134
579396,PURCHASE,2016-01-02 03:19:28,PURCHASE,43.75,Fresh Flowers,False,882815134
579397,PURCHASE,2016-01-02 03:38:17,PURCHASE,331.43,Hilton Hotels,False,882815134
579398,PURCHASE,2016-01-02 03:57:45,PURCHASE,353.8,Fresh eCards,False,882815134
579399,PURCHASE,2016-01-02 05:53:18,PURCHASE,512.83,Renaissance Hotel,False,882815134
579400,PURCHASE,2016-01-02 06:12:05,PURCHASE,201.61,Hilton Hotels,False,882815134
579401,PURCHASE,2016-01-02 06:35:13,PURCHASE,139.38,Rodeway Inn,False,882815134
579402,ADDRESS_VERIFICATION,2016-01-02 06:56:46,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
579403,PURCHASE,2016-01-02 07:39:43,PURCHASE,135.93,Renaissance Hotel,False,882815134
579404,PURCHASE,2016-01-02 08:31:50,PURCHASE,229.96,Rodeway Inn,False,882815134
579405,PURCHASE,2016-01-02 08:57:55,PURCHASE,13.92,Hilton Hotels,False,882815134
579406,PURCHASE,2016-01-02 10:23:18,PURCHASE,377.15,Hilton Hotels,False,882815134
579407,PURCHASE,2016-01-02 11:46:43,PURCHASE,52.81,Renaissance Hotel,False,882815134
579408,PURCHASE,2016-01-02 11:57:10,PURCHASE,117.42,Hilton Hotels,False,882815134
579409,PURCHASE,2016-01-02 12:14:34,PURCHASE,93.3,Rodeway Inn,False,882815134
579410,PURCHASE,2016-01-02 13:32:17,PURCHASE,481.63,Renaissance Hotel,False,882815134
579411,PURCHASE,2016-01-02 13:51:30,PURCHASE,184.76,Rodeway Inn,False,882815134
579412,PURCHASE,2016-01-02 15:41:16,PURCHASE,0.01,Rodeway Inn,False,882815134
579413,PURCHASE,2016-01-02 17:33:42,PURCHASE,71.77,Rodeway Inn,False,882815134
579414,PURCHASE,2016-01-02 17:52:42,PURCHASE,69.52,Hyatt House,False,882815134
579415,PURCHASE,2016-01-02 20:13:43,PURCHASE,414.42,Next Day eCards,False,882815134
579416,PURCHASE,2016-01-02 20:32:58,PURCHASE,17.65,Hilton Hotels,False,882815134
579417,PURCHASE,2016-01-02 20:40:40,PURCHASE,95.53,Rodeway Inn,False,882815134
579418,PURCHASE,2016-01-02 22:18:19,PURCHASE,754.36,Rodeway Inn,False,882815134
579419,PURCHASE,2016-01-02 23:27:12,PURCHASE,81.09,Hilton Hotels,False,882815134
579420,PURCHASE,2016-01-03 00:17:10,PURCHASE,115.01,Renaissance Hotel,False,882815134
579421,PURCHASE,2016-01-03 02:07:40,PURCHASE,32.26,Hyatt House,False,882815134
579422,PURCHASE,2016-01-03 02:33:50,PURCHASE,27.6,Renaissance Hotel,False,882815134
579423,PURCHASE,2016-01-03 02:41:36,PURCHASE,18.81,Hilton Hotels,False,882815134
579424,PURCHASE,2016-01-03 03:07:40,PURCHASE,23.11,Rodeway Inn,False,882815134
579425,PURCHASE,2016-01-03 03:07:56,PURCHASE,23.75,Renaissance Hotel,False,882815134
579426,PURCHASE,2016-01-03 03:31:51,PURCHASE,80.73,Renaissance Hotel,False,882815134
579427,PURCHASE,2016-01-03 05:13:43,PURCHASE,262.73,Rodeway Inn,False,882815134
579428,PURCHASE,2016-01-03 05:19:14,PURCHASE,50.48,Rodeway Inn,False,882815134
579429,PURCHASE,2016-01-03 05:57:37,PURCHASE,44.03,Blue Mountain Online Services,False,882815134
579430,PURCHASE,2016-01-03 06:09:54,PURCHASE,116.58,Rodeway Inn,False,882815134
579431,PURCHASE,2016-01-03 06:26:54,PURCHASE,28.73,Hyatt House,False,882815134
579432,PURCHASE,2016-01-03 07:05:49,PURCHASE,611.57,Hilton Hotels,False,882815134
579433,PURCHASE,2016-01-03 07:31:40,PURCHASE,8.46,Hyatt House,False,882815134
579434,PURCHASE,2016-01-03 08:38:18,PURCHASE,177.27,Rodeway Inn,False,882815134
579435,PURCHASE,2016-01-03 09:44:40,PURCHASE,439.48,Rodeway Inn,False,882815134
579436,PURCHASE,2016-01-03 11:28:06,PURCHASE,160.18,Aloft,False,882815134
579437,PURCHASE,2016-01-03 12:45:08,PURCHASE,280.65,Fresh Online Services,False,882815134
579438,PURCHASE,2016-01-03 12:46:10,PURCHASE,9.54,Fresh Flowers,False,882815134
579439,PURCHASE,2016-01-03 13:24:22,PURCHASE,115.65,Hilton Hotels,False,882815134
579440,PURCHASE,2016-01-03 13:36:29,PURCHASE,595.42,Hyatt House,False,882815134
579441,PURCHASE,2016-01-03 14:50:49,PURCHASE,286.58,Hyatt House,False,882815134
579442,PURCHASE,2016-01-03 15:04:00,PURCHASE,33.75,Renaissance Hotel,False,882815134
579443,PURCHASE,2016-01-03 16:08:13,PURCHASE,81.87,Rodeway Inn,False,882815134
579444,ADDRESS_VERIFICATION,2016-01-03 17:11:30,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
579445,PURCHASE,2016-01-03 18:51:55,PURCHASE,227.22,Hilton Hotels,False,882815134
579446,PURCHASE,2016-01-03 19:12:26,PURCHASE,170.35,Fresh eCards,False,882815134
579447,PURCHASE,2016-01-03 19:40:16,PURCHASE,0.08,Hilton Hotels,False,882815134
579448,PURCHASE,2016-01-03 20:03:38,PURCHASE,199.38,Renaissance Hotel,False,882815134
579449,PURCHASE,2016-01-03 20:57:07,PURCHASE,33.94,Rodeway Inn,False,882815134
579450,ADDRESS_VERIFICATION,2016-01-03 21:29:07,ADDRESS_VERIFICATION,0.0,Renaissance Hotel,False,882815134
579451,PURCHASE,2016-01-03 22:00:51,PURCHASE,50.81,Rodeway Inn,False,882815134
579452,PURCHASE,2016-01-03 22:07:51,PURCHASE,51.8,Hilton Hotels,False,882815134
579453,PURCHASE,2016-01-03 22:41:10,PURCHASE,269.97,Hyatt House,False,882815134
579454,PURCHASE,2016-01-03 22:49:43,PURCHASE,121.78,Renaissance Hotel,False,882815134
579455,PURCHASE,2016-01-03 23:04:03,PURCHASE,49.67,Renaissance Hotel,False,882815134
579456,PURCHASE,2016-01-03 23:17:13,PURCHASE,274.07,Hyatt House,False,882815134
579457,PURCHASE,2016-01-03 23:29:34,PURCHASE,24.89,Hilton Hotels,False,882815134
579458,PURCHASE,2016-01-04 00:00:52,PURCHASE,60.83,Renaissance Hotel,False,882815134
579459,PURCHASE,2016-01-04 00:03:14,PURCHASE,60.83,Renaissance Hotel,False,882815134
579460,PURCHASE,2016-01-04 00:28:20,PURCHASE,62.13,Renaissance Hotel,False,882815134
579461,PURCHASE,2016-01-04 00:56:05,PURCHASE,123.53,Hyatt House,False,882815134
579462,PURCHASE,2016-01-04 02:21:22,PURCHASE,172.72,Rodeway Inn,False,882815134
579463,PURCHASE,2016-01-04 03:47:22,PURCHASE,33.36,Renaissance Hotel,False,882815134
579464,PURCHASE,2016-01-04 03:49:06,PURCHASE,91.77,Rodeway Inn,False,882815134
579465,PURCHASE,2016-01-04 04:15:06,PURCHASE,42.44,Hilton Hotels,False,882815134
579466,PURCHASE,2016-01-04 04:26:24,PURCHASE,44.11,Fresh Online Services,False,882815134
579467,PURCHASE,2016-01-04 04:52:53,PURCHASE,66.41,Rodeway Inn,False,882815134
579468,PURCHASE,2016-01-04 04:58:22,PURCHASE,153.03,Hyatt House,False,882815134
579469,PURCHASE,2016-01-04 05:00:52,PURCHASE,55.86,Renaissance Hotel,False,882815134
579470,PURCHASE,2016-01-04 06:14:04,PURCHASE,105.99,Rodeway Inn,False,882815134
579471,PURCHASE,2016-01-04 06:23:05,PURCHASE,24.94,Powerlifting,False,882815134
579472,PURCHASE,2016-01-04 06:45:05,PURCHASE,89.23,Rodeway Inn,False,882815134
579473,PURCHASE,2016-01-04 07:20:53,PURCHASE,439.52,Renaissance Hotel,False,882815134
579474,PURCHASE,2016-01-04 07:21:16,PURCHASE,15.1,Rodeway Inn,False,882815134
579475,PURCHASE,2016-01-04 07:45:44,PURCHASE,197.1,Hilton Hotels,False,882815134
579476,PURCHASE,2016-01-04 08:15:10,PURCHASE,53.24,Hilton Hotels,False,882815134
579477,PURCHASE,2016-01-04 09:59:01,PURCHASE,41.6,Hilton Hotels,False,882815134
579478,PURCHASE,2016-01-04 10:50:59,PURCHASE,27.73,Rodeway Inn,False,882815134
579479,PURCHASE,2016-01-04 11:02:14,PURCHASE,477.47,Renaissance Hotel,False,882815134
579480,PURCHASE,2016-01-04 11:18:10,PURCHASE,121.9,Rodeway Inn,False,882815134
579481,PURCHASE,2016-01-04 14:02:47,PURCHASE,226.02,Renaissance Hotel,False,882815134
579482,PURCHASE,2016-01-04 14:54:47,PURCHASE,84.34,Hilton Hotels,False,882815134
579483,PURCHASE,2016-01-04 15:09:18,PURCHASE,52.15,Hyatt House,False,882815134
579484,PURCHASE,2016-01-04 17:21:56,PURCHASE,10.17,Hilton Hotels,False,882815134
579485,PURCHASE,2016-01-04 17:38:40,PURCHASE,51.91,Renaissance Hotel,False,882815134
579486,PURCHASE,2016-01-04 17:41:55,PURCHASE,502.37,Hilton Hotels,False,882815134
579487,PURCHASE,2016-01-04 17:46:38,PURCHASE,188.26,Rodeway Inn,True,882815134
579488,PURCHASE,2016-01-04 18:28:24,PURCHASE,180.15,Hyatt House,False,882815134
579489,PURCHASE,2016-01-04 19:31:29,PURCHASE,120.91,Blue Mountain eCards,False,882815134
579490,PURCHASE,2016-01-04 20:26:08,PURCHASE,234.07,Rodeway Inn,False,882815134
579491,PURCHASE,2016-01-04 20:56:16,PURCHASE,152.68,Blue Mountain eCards,False,882815134
579492,PURCHASE,2016-01-05 01:10:48,PURCHASE,99.45,Next Day Online Services,False,882815134
579493,PURCHASE,2016-01-05 01:12:46,PURCHASE,1295.96,Rodeway Inn,False,882815134
579494,PURCHASE,2016-01-05 02:49:09,PURCHASE,35.81,Hyatt House,False,882815134
579495,PURCHASE,2016-01-05 02:57:37,PURCHASE,42.51,Hilton Hotels,False,882815134
579496,PURCHASE,2016-01-05 03:16:39,PURCHASE,159.37,Hilton Hotels,False,882815134
579497,PURCHASE,2016-01-05 04:08:24,PURCHASE,40.14,Hilton Hotels,False,882815134
579498,PURCHASE,2016-01-05 04:09:54,PURCHASE,49.64,Rodeway Inn,False,882815134
579499,PURCHASE,2016-01-05 04:57:52,PURCHASE,43.58,Hyatt House,False,882815134
579500,PURCHASE,2016-01-05 05:14:49,PURCHASE,120.27,Hyatt House,False,882815134
579501,PURCHASE,2016-01-05 05:56:35,PURCHASE,110.89,Hilton Hotels,False,882815134
579502,PURCHASE,2016-01-05 06:02:35,PURCHASE,38.95,Rodeway Inn,False,882815134
579503,PURCHASE,2016-01-05 06:08:18,PURCHASE,110.51,Renaissance Hotel,False,882815134
579504,PURCHASE,2016-01-05 06:30:35,PURCHASE,36.79,Hyatt House,False,882815134
579505,PURCHASE,2016-01-05 06:35:56,PURCHASE,83.04,Hilton Hotels,False,882815134
579506,PURCHASE,2016-01-05 07:07:27,PURCHASE,367.22,Rodeway Inn,False,882815134
579507,PURCHASE,2016-01-05 08:23:53,PURCHASE,69.83,Hyatt House,False,882815134
579508,PURCHASE,2016-01-05 08:28:38,PURCHASE,78.28,Rodeway Inn,False,882815134
579509,PURCHASE,2016-01-05 08:36:02,PURCHASE,60.05,Renaissance Hotel,False,882815134
579510,PURCHASE,2016-01-05 08:49:32,PURCHASE,247.3,Hilton Hotels,False,882815134
579511,PURCHASE,2016-01-05 09:40:03,PURCHASE,251.38,Renaissance Hotel,False,882815134
579512,PURCHASE,2016-01-05 09:41:03,PURCHASE,15.72,Hilton Hotels,False,882815134
579513,PURCHASE,2016-01-05 09:41:25,PURCHASE,96.74,Rodeway Inn,False,882815134
579514,PURCHASE,2016-01-05 10:11:21,PURCHASE,22.97,Rodeway Inn,False,882815134
579515,PURCHASE,2016-01-05 12:18:40,PURCHASE,199.75,Rodeway Inn,False,882815134
579516,PURCHASE,2016-01-05 12:42:47,PURCHASE,79.91,Rodeway Inn,False,882815134
579517,PURCHASE,2016-01-05 13:16:00,PURCHASE,268.73,target.com,False,882815134
579518,PURCHASE,2016-01-05 14:27:41,PURCHASE,129.57,Hyatt House,False,882815134
579519,PURCHASE,2016-01-05 15:10:48,PURCHASE,150.94,Hilton Hotels,False,882815134
579520,PURCHASE,2016-01-05 15:45:03,PURCHASE,25.64,Hyatt House,False,882815134
579521,PURCHASE,2016-01-05 16:54:35,PURCHASE,55.34,Aloft,False,882815134
579522,PURCHASE,2016-01-05 17:21:47,PURCHASE,142.94,Rodeway Inn,False,882815134
579523,PURCHASE,2016-01-05 17:21:51,PURCHASE,345.39,Rodeway Inn,False,882815134
579524,PURCHASE,2016-01-05 17:23:34,PURCHASE,103.87,Hilton Hotels,False,882815134
579525,PURCHASE,2016-01-05 18:12:50,PURCHASE,117.01,Hilton Hotels,False,882815134
579526,PURCHASE,2016-01-05 19:47:25,PURCHASE,289.73,Rodeway Inn,False,882815134
579527,PURCHASE,2016-01-05 20:14:44,PURCHASE,137.59,Hilton Hotels,False,882815134
579528,ADDRESS_VERIFICATION,2016-01-05 20:57:26,ADDRESS_VERIFICATION,0.0,Hilton Hotels,False,882815134
579529,PURCHASE,2016-01-05 21:57:02,PURCHASE,169.05,Hilton Hotels,False,882815134
579530,PURCHASE,2016-01-05 22:01:01,PURCHASE,22.72,Hilton Hotels,False,882815134
579531,PURCHASE,2016-01-05 22:02:30,PURCHASE,135.85,Walgreens,False,882815134
579532,PURCHASE,2016-01-05 22:12:22,PURCHASE,2.27,Hilton Hotels,False,882815134
579533,PURCHASE,2016-01-05 22:24:04,PURCHASE,26.84,Hilton Hotels,False,882815134
579534,PURCHASE,2016-01-05 22:24:53,PURCHASE,199.94,Rodeway Inn,False,882815134
579535,PURCHASE,2016-01-05 22:40:41,PURCHASE,124.47,Rodeway Inn,False,882815134
579536,,2016-01-05 22:55:30,,405.63,Renaissance Hotel,False,882815134
579537,PURCHASE,2016-01-05 23:43:11,PURCHASE,177.81,Hyatt House,False,882815134
579538,PURCHASE,2016-01-06 00:31:31,PURCHASE,37.68,Hilton Hotels,False,882815134
579539,PURCHASE,2016-01-06 00:57:06,PURCHASE,1.81,Hyatt House,False,882815134
579540,PURCHASE,2016-01-06 01:30:58,PURCHASE,160.37,Hyatt House,False,882815134
579541,PURCHASE,2016-01-06 01:44:38,PURCHASE,20.96,Hilton Hotels,False,882815134
579542,PURCHASE,2016-01-06 02:42:44,PURCHASE,417.19,Marriott Hotels,False,882815134
579543,ADDRESS_VERIFICATION,2016-01-06 03:32:16,ADDRESS_VERIFICATION,0.0,Hyatt House,False,882815134
579544,PURCHASE,2016-01-06 03:58:21,PURCHASE,93.86,Hilton Hotels,False,882815134
579545,PURCHASE,2016-01-06 04:49:58,PURCHASE,165.97,Hilton Hotels,False,882815134
579546,PURCHASE,2016-01-06 06:48:32,PURCHASE,129.28,Next Day eCards,False,882815134
579547,PURCHASE,2016-01-06 07:26:56,PURCHASE,129.88,Renaissance Hotel,False,882815134
579548,PURCHASE,2016-01-06 08:59:53,PURCHASE,45.2,Hilton Hotels,False,882815134
579549,PURCHASE,2016-01-06 10:04:08,PURCHASE,42.95,Hyatt House,False,882815134
579550,PURCHASE,2016-01-06 10:22:48,PURCHASE,86.35,Renaissance Hotel,False,882815134
579551,PURCHASE,2016-01-06 10:25:35,PURCHASE,20.36,Hilton Hotels,False,882815134
579552,PURCHASE,2016-01-06 10:42:17,PURCHASE,1.16,Next Day Online Services,False,882815134
579553,PURCHASE,2016-01-06 11:34:28,PURCHASE,130.4,Hyatt House,False,882815134
579554,PURCHASE,2016-01-06 11:37:17,PURCHASE,24.45,Rodeway Inn,False,882815134
